framework,size_a,size_b,mean_spearman,min_spearman,spearman_abs,spearman_gma,spearman_rappler,all_top3_unchanged
schwartz,15,25,0.8833333333333333,0.7833333333333333,0.9500000000000001,0.9166666666666666,0.7833333333333333,False
schwartz,25,35,0.861111111111111,0.8166666666666667,0.9333333333333332,0.8333333333333333,0.8166666666666667,False
schwartz,35,50,0.9388888888888888,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9666666666666667,False
mft,15,25,0.7999999999999998,0.49999999999999994,0.8999999999999998,0.9999999999999999,0.49999999999999994,False
mft,25,35,0.7333333333333333,0.49999999999999994,0.7999999999999999,0.8999999999999998,0.49999999999999994,False
mft,35,50,0.8999999999999999,0.7,0.9999999999999999,0.9999999999999999,0.7,False
