foundation,mean_similarity,pct_dominant,sentence_count_dominant,pct_virtue_of_dominant,pct_vice_of_dominant
care,0.1353449523448944,18.474782873685815,2425,44.618556701030926,55.38144329896907
fairness,0.1513669639825821,19.480420539387474,2557,46.92999608916699,53.07000391083301
loyalty,0.17696446180343628,26.03992076794149,3418,45.78700994733762,54.21299005266238
authority,0.1663684993982315,19.88419929910102,2610,70.19157088122606,29.808429118773944
sanctity,0.14417767524719238,16.1206765198842,2116,65.02835538752363,34.97164461247637
