value,mean_similarity,pct_dominant,sentence_count_dominant
Security,0.1197839081287384,13.79704403474021,1811
Power,0.11467854678630829,14.40652140789273,1891
Achievement,0.11765511333942413,17.408197470668902,2285
Benevolence,0.09604059904813766,4.952003656864239,650
Universalism,0.12173406779766083,13.187566661587688,1731
Stimulation,0.12261104583740234,15.00076184671644,1969
Tradition,0.09925613552331924,7.717507237543806,1013
Self-Direction,0.0920790433883667,8.403169282340393,1103
Conformity,0.08506119251251221,5.1272284016455885,673
