foundation,mean_similarity,pct_dominant,sentence_count_dominant,pct_virtue_of_dominant,pct_vice_of_dominant
care,0.13667723536491394,20.6656346749226,534,38.20224719101123,61.79775280898876
fairness,0.14325369894504547,14.628482972136222,378,54.4973544973545,45.5026455026455
loyalty,0.1728888750076294,21.052631578947366,544,30.514705882352942,69.48529411764706
authority,0.1875971406698227,28.560371517027868,738,77.23577235772358,22.76422764227642
sanctity,0.1477021723985672,15.092879256965944,390,82.82051282051283,17.17948717948718
