foundation,ABS-CBN,GMA,Rappler
authority,28.560371517027868,32.952889752306945,19.88419929910102
care,20.6656346749226,15.56580864497329,18.474782873685815
fairness,14.628482972136222,22.40165128703254,19.480420539387474
loyalty,21.052631578947366,22.814473045167556,26.03992076794149
sanctity,15.092879256965944,6.26517727051967,16.1206765198842
