foundation,mean_similarity,pct_dominant,sentence_count_dominant,pct_virtue_of_dominant,pct_vice_of_dominant
care,0.12218684703111649,15.56580864497329,1282,42.90171606864275,57.09828393135725
fairness,0.1711961030960083,22.40165128703254,1845,52.30352303523035,47.696476964769644
loyalty,0.1854444146156311,22.814473045167556,1879,33.9542309739223,66.0457690260777
authority,0.20076727867126465,32.952889752306945,2714,82.01915991156964,17.980840088430362
sanctity,0.12070108205080032,6.26517727051967,516,75.1937984496124,24.8062015503876
